"Family","Total_freq","Early","Mid","Late","Class","Order"
"Notodontidae",79,83.3,100,87.5,"Insecta","Lepidoptera"
"Geometridae",71,83.3,74.2,87.5,"Insecta","Lepidoptera"
"Theridiidae",68,91.7,93.5,53.1,"Arachnida","Araneae"
"Araneidae",53,79.2,64.5,43.8,"Arachnida","Araneae"
"Philodromidae",53,83.3,71,34.4,"Arachnida","Araneae"
"Tortricidae",42,62.5,67.7,18.8,"Insecta","Lepidoptera"
"Linyphiidae",41,54.2,32.3,56.2,"Arachnida","Araneae"
"Miridae",36,25,74.2,21.9,"Insecta","Hemiptera"
"Rhagionidae",33,62.5,22.6,34.4,"Insecta","Diptera"
"Dictynidae",32,50,41.9,21.9,"Arachnida","Araneae"
"Ichneumonidae",30,29.2,29,43.8,"Insecta","Hymenoptera"
"Cecidomyiidae",29,37.5,32.3,31.2,"Insecta","Diptera"
"Tachinidae",24,16.7,29,34.4,"Insecta","Diptera"
"Mycetophilidae",22,8.3,16.1,46.9,"Insecta","Diptera"
"Tetragnathidae",22,50,22.6,9.4,"Arachnida","Araneae"
"Cicadellidae",20,20.8,22.6,25,"Insecta","Hemiptera"
"Gelechiidae",20,33.3,25.8,12.5,"Insecta","Lepidoptera"
"Chironomidae",18,33.3,16.1,15.6,"Insecta","Diptera"
"Limoniidae",17,25,22.6,12.5,"Insecta","Diptera"
"Sciaridae",17,25,9.7,25,"Insecta","Diptera"
"Keroplatidae",16,33.3,19.4,6.2,"Insecta","Diptera"
"Culicidae",15,41.7,12.9,3.1,"Insecta","Diptera"
"Amphipsocidae",13,0,32.3,9.4,"Insecta","Psocodea"
"Braconidae",13,20.8,22.6,3.1,"Insecta","Hymenoptera"
"Blastobasidae",12,8.3,19.4,12.5,"Insecta","Lepidoptera"
"Depressariidae",12,4.2,35.5,0,"Insecta","Lepidoptera"
"Erebidae",12,16.7,12.9,12.5,"Insecta","Lepidoptera"
"Psocidae",12,4.2,6.5,28.1,"Insecta","Psocodea"
"Sphingidae",12,4.2,22.6,12.5,"Insecta","Lepidoptera"
"Clubionidae",11,4.2,19.4,12.5,"Arachnida","Araneae"
"Nemouridae",11,20.8,16.1,3.1,"Insecta","Plecoptera"
"Empididae",10,25,12.9,0,"Insecta","Diptera"
"Elateridae",8,16.7,3.2,9.4,"Insecta","Coleoptera"
"Theridiosomatidae",8,8.3,3.2,15.6,"Arachnida","Araneae"
"Cantharidae",7,0,3.2,18.8,"Insecta","Coleoptera"
"Crambidae",7,8.3,9.7,6.2,"Insecta","Lepidoptera"
"Curculionidae",7,8.3,3.2,12.5,"Insecta","Coleoptera"
"Tipulidae",7,0,12.9,9.4,"Insecta","Diptera"
"Hybotidae",6,0,12.9,6.2,"Insecta","Diptera"
"Noctuidae",6,25,0,0,"Insecta","Lepidoptera"
"Pipunculidae",6,8.3,6.5,6.2,"Insecta","Diptera"
"Agelenidae",5,0,0,15.6,"Arachnida","Araneae"
"Gracillariidae",5,16.7,3.2,0,"Insecta","Lepidoptera"
"Muscidae",5,4.2,3.2,9.4,"Insecta","Diptera"
"Aphrophoridae",4,8.3,6.5,0,"Insecta","Hemiptera"
"Melandryidae",4,12.5,3.2,0,"Insecta","Coleoptera"
"Pentatomidae",4,4.2,6.5,3.1,"Insecta","Hemiptera"
"Peripsocidae",4,0,6.5,6.2,"Insecta","Psocodea"
