"Species","Total_freq","Early","Mid","Late","Class","Order","Family","Sp"
"Spp10",79,83.3,100,87.5,"Insecta","Lepidoptera","Notodontidae","Heterocampa.guttivitta"
"Spp1",53,70.8,93.5,21.9,"Arachnida","Araneae","Theridiidae","Theridion.frondeum"
"Spp13",47,75,64.5,28.1,"Arachnida","Araneae","Philodromidae","Philodromus.rufus"
"Spp31",43,62.5,41.9,46.9,"Insecta","Diptera","",""
"Spp22",33,54.2,51.6,12.5,"Insecta","Lepidoptera","",""
"Spp183",33,70.8,32.3,18.8,"Arachnida","Araneae","Araneidae","Cyclosa.conica"
"Spp92",30,45.8,41.9,18.8,"Arachnida","Araneae","Dictynidae","Emblyna.maxima"
"Spp2",28,4.2,25.8,59.4,"Insecta","Lepidoptera","Geometridae","Orthofidonia.exornata"
"Spp29",28,37.5,6.5,53.1,"","","",""
"Spp112",27,33.3,51.6,9.4,"Insecta","Lepidoptera","Tortricidae","Pandemis.lamprosana"
"Spp139",26,4.2,25.8,53.1,"Insecta","Lepidoptera","Geometridae",""
"Spp6",25,37.5,29,21.9,"Insecta","Diptera","Cecidomyiidae",""
"Spp157",22,50,22.6,9.4,"Arachnida","Araneae","Tetragnathidae","Tetragnatha.shoshone"
"Spp3",20,16.7,48.4,3.1,"Insecta","Hemiptera","Miridae","Deraeocoris.grandis"
"Spp25",20,12.5,12.9,40.6,"Arachnida","","",""
"Spp46",20,4.2,12.9,46.9,"Arachnida","Araneae","Linyphiidae","Helophora.insignis"
"Spp53",20,37.5,19.4,15.6,"Arachnida","Araneae","Philodromidae","Philodromus.praelustris"
"Spp76",20,33.3,9.7,28.1,"Arachnida","Araneae","Araneidae","Araneus.saevus"
"Spp160",20,12.5,35.5,18.8,"Arachnida","Araneae","Araneidae","Araneus.guttulatus"
"Spp12",19,12.5,19.4,31.2,"Arachnida","","",""
"Spp16",18,37.5,16.1,12.5,"Arachnida","Araneae","Linyphiidae","Pityohyphantes.costatus"
"Spp27",18,62.5,6.5,3.1,"Insecta","Diptera","Rhagionidae","Rhagio.mystaceus"
"Spp217",18,29.2,25.8,9.4,"Arachnida","Araneae","Theridiidae","Theridion.murarium"
"Spp37",16,33.3,19.4,6.2,"Insecta","Diptera","Keroplatidae",""
"Spp208",16,12.5,12.9,28.1,"Arachnida","Araneae","Theridiidae","Parasteatoda.tepidariorum"
"Spp159",15,8.3,29,12.5,"Insecta","Lepidoptera","Geometridae","Eutrapela.clemataria"
"Spp140",13,0,32.3,9.4,"Insecta","Psocodea","Amphipsocidae","Polypsocus.corruptus"
"Spp158",13,8.3,16.1,18.8,"Insecta","Diptera","Tachinidae","Blepharomyia.tibialis"
"Spp220",13,8.3,32.3,3.1,"Insecta","Lepidoptera","Geometridae","Eupithecia.columbiata"
"Spp60",12,0,3.2,34.4,"Insecta","Diptera","Rhagionidae","Rhagio.gracilis"
"Spp65",12,4.2,35.5,0,"Insecta","Lepidoptera","Depressariidae","Psilocorsis.reflexella"
"Spp81",12,4.2,6.5,28.1,"Insecta","Psocodea","Psocidae","Metylophorus.novaescotiae"
"Spp182",12,20.8,12.9,9.4,"Insecta","Diptera","Chironomidae",""
"Spp40",11,12.5,25.8,0,"Insecta","Lepidoptera","Geometridae","Speranza.pustularia"
"Spp58",11,4.2,6.5,25,"Insecta","Lepidoptera","Geometridae",""
"Spp172",10,4.2,12.9,15.6,"Insecta","Lepidoptera","Geometridae","Probole.alienaria"
"Spp242",10,29.2,3.2,6.2,"Insecta","Lepidoptera","Geometridae","Lambdina.fiscellaria"
"Spp244",10,33.3,6.5,0,"Insecta","Diptera","Culicidae","Aedes.communis"
"Spp20",9,0,16.1,12.5,"Insecta","Hemiptera","Miridae",""
"Spp185",9,25,9.7,0,"Arachnida","Araneae","Dictynidae","Emblyna.sublata"
"Spp359",9,0,16.1,12.5,"Insecta","Hemiptera","Cicadellidae",""
"Spp5",8,4.2,3.2,18.8,"Insecta","Diptera","Mycetophilidae",""
"Spp88",8,8.3,3.2,15.6,"Arachnida","Araneae","Theridiosomatidae","Theridiosoma.gemmosum"
"Spp105",8,4.2,3.2,18.8,"Insecta","","",""
"Spp212",8,4.2,19.4,3.1,"Insecta","Lepidoptera","Tortricidae","Olethreutes.glaciana"
"Spp245",8,16.7,12.9,0,"Insecta","Plecoptera","Nemouridae","Ostrocerca.albidipennis"
"Spp15",7,16.7,6.5,3.1,"Arachnida","Araneae","Araneidae",""
"Spp59",7,4.2,12.9,6.2,"Insecta","Diptera","Limoniidae","Elephantomyia.westwoodi"
"Spp114",7,4.2,9.7,9.4,"Insecta","Diptera","Mycetophilidae",""
"Spp126",7,0,19.4,3.1,"Insecta","Lepidoptera","Blastobasidae","Hypatopa.simplicella"
"Spp196",7,0,12.9,9.4,"Arachnida","Araneae","Clubionidae","Clubiona.canadensis"
"Spp265",7,8.3,12.9,3.1,"Insecta","Lepidoptera","Gelechiidae","Carpatolechia.belangerella"
"Spp66",6,0,9.7,9.4,"Insecta","Diptera","Cecidomyiidae",""
"Spp79",6,8.3,3.2,9.4,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp86",6,0,16.1,3.1,"Insecta","Lepidoptera","Geometridae","Melanolophia.signataria"
"Spp125",6,0,3.2,15.6,"Insecta","Coleoptera","Cantharidae","Rhagonycha.imbecillis"
"Spp147",6,4.2,12.9,3.1,"Insecta","Lepidoptera","Notodontidae","Heterocampa.biundata"
"Spp166",6,8.3,3.2,9.4,"Insecta","Lepidoptera","Geometridae","Plagodis.serinaria"
"Spp176",6,12.5,9.7,0,"Insecta","Diptera","Culicidae",""
"Spp195",6,4.2,12.9,3.1,"Insecta","Lepidoptera","Sphingidae","Darapsa.choerilus"
"Spp17",5,12.5,3.2,3.1,"Insecta","Hemiptera","Cicadellidae",""
"Spp23",5,12.5,6.5,0,"Insecta","Lepidoptera","Geometridae","Ennomos.subsignaria"
"Spp35",5,0,0,15.6,"Arachnida","Araneae","Agelenidae","Agelenopsis.utahana"
"Spp47",5,12.5,3.2,3.1,"Insecta","Diptera","Sciaridae","Schwenckfeldina.quadrispinosa"
"Spp48",5,12.5,3.2,3.1,"Insecta","Hymenoptera","Ichneumonidae","Plectochorus.iwatensis"
"Spp96",5,8.3,9.7,0,"Insecta","Diptera","Empididae",""
"Spp121",5,0,0,15.6,"Insecta","Lepidoptera","Geometridae","Ectropis.crepuscularia"
"Spp134",5,4.2,12.9,0,"Insecta","Hymenoptera","Braconidae","Peristenus.braunae"
"Spp142",5,16.7,3.2,0,"Insecta","Diptera","Limoniidae",""
"Spp150",5,0,6.5,9.4,"Insecta","Diptera","Tipulidae","Tipula.hermannia"
"Spp189",5,12.5,3.2,3.1,"Insecta","Coleoptera","Elateridae","Dalopius.fuscipes"
"Spp198",5,0,6.5,9.4,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp225",5,8.3,6.5,3.1,"Arachnida","Araneae","",""
"Spp247",5,8.3,0,9.4,"Insecta","Lepidoptera","Geometridae","Plagodis.alcoolaria"
"Spp309",5,4.2,3.2,9.4,"Insecta","Coleoptera","Curculionidae","Strophosoma.fulvicorne"
"Spp319",5,0,0,15.6,"Insecta","Diptera","Mycetophilidae",""
"Spp30",4,4.2,0,9.4,"Insecta","Lepidoptera","Erebidae","Idia.rotundalis"
"Spp69",4,16.7,0,0,"Insecta","Plecoptera","",""
"Spp70",4,0,12.9,0,"Insecta","Lepidoptera","Psychidae","Psyche.casta"
"Spp106",4,16.7,0,0,"Insecta","Lepidoptera","Tortricidae","Acleris.cervinana"
"Spp116",4,12.5,3.2,0,"Insecta","Coleoptera","Melandryidae","Symphora.flavicollis"
"Spp124",4,4.2,9.7,0,"Insecta","Diptera","Rhagionidae","Chrysopilus.quadratus"
"Spp135",4,0,0,12.5,"Insecta","Hymenoptera","Ichneumonidae","Dusona.vitticollis"
"Spp151",4,0,0,12.5,"Insecta","Diptera","Mycetophilidae","Exechia.frigida"
"Spp200",4,4.2,0,9.4,"Insecta","Diptera","Sciaridae",""
"Spp209",4,0,9.7,3.1,"Insecta","Lepidoptera","Sphingidae","Amorpha.juglandis"
"Spp228",4,0,6.5,6.2,"Insecta","Psocodea","Peripsocidae","Peripsocus.subfasciatus"
"Spp232",4,4.2,6.5,3.1,"Insecta","Hemiptera","Pentatomidae","Podisus.brevispinus"
"Spp239",4,8.3,6.5,0,"Insecta","Hemiptera","Cicadellidae",""
"Spp254",4,0,3.2,9.4,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp266",4,16.7,0,0,"Insecta","Lepidoptera","Noctuidae","Orthosia.rubescens"
"Spp275",4,0,0,12.5,"Insecta","Diptera","Tachinidae",""
"Spp277",4,8.3,6.5,0,"Insecta","Hemiptera","Aphrophoridae","Aphrophora.cribrata"
"Spp279",4,0,9.7,3.1,"Insecta","Diptera","Limoniidae","Limonia.indigena"
"Spp19",3,0,9.7,0,"Insecta","Diptera","Hybotidae",""
"Spp26",3,4.2,0,6.2,"Insecta","Lepidoptera","Tortricidae","Anopina.ednana"
"Spp38",3,4.2,3.2,3.1,"Arachnida","Araneae","Araneidae","Neoscona.arabesca"
"Spp43",3,8.3,0,3.1,"Insecta","Coleoptera","Staphylinidae","Eusphalerum.pothos"
"Spp49",3,8.3,3.2,0,"Insecta","Diptera","Empididae",""
"Spp51",3,0,0,9.4,"Insecta","Lepidoptera","Blastobasidae","Pigritia.laticapitella"
"Spp54",3,4.2,3.2,3.1,"Arachnida","Araneae","Philodromidae","Philodromus.vulgaris"
"Spp57",3,8.3,3.2,0,"Insecta","Lepidoptera","Gracillariidae","Caloptilia.packardella"
"Spp63",3,8.3,3.2,0,"Insecta","Lepidoptera","Tortricidae","Clepsis.melaleucanus"
"Spp73",3,0,6.5,3.1,"Insecta","Lepidoptera","Crambidae","Scoparia.penumbralis"
"Spp127",3,4.2,0,6.2,"Insecta","Coleoptera","Elateridae","Athous.acanthus"
"Spp129",3,12.5,0,0,"Insecta","Lepidoptera","Gelechiidae","Coleotechnites.piceaella"
"Spp162",3,0,9.7,0,"Insecta","Hemiptera","Miridae","Neolygus.fagi"
"Spp165",3,8.3,0,3.1,"Insecta","Diptera","Chironomidae",""
"Spp169",3,0,3.2,6.2,"Insecta","Hemiptera","Miridae","Blepharidopterus.provancheri"
"Spp178",3,0,9.7,0,"Insecta","Lepidoptera","Erebidae","Zanclognatha.laevigata"
"Spp187",3,0,9.7,0,"Insecta","Lepidoptera","Gelechiidae","Chionodes.mediofuscella"
"Spp203",3,4.2,3.2,3.1,"Arachnida","Araneae","",""
"Spp238",3,8.3,3.2,0,"Insecta","Hymenoptera","Braconidae",""
"Spp248",3,8.3,3.2,0,"Insecta","Diptera","Limoniidae",""
"Spp252",3,4.2,3.2,3.1,"Arachnida","Araneae","Clubionidae","Clubiona.spiralis"
"Spp260",3,8.3,3.2,0,"Insecta","Lepidoptera","Tortricidae","Olethreutes.appendiceum"
"Spp272",3,12.5,0,0,"Insecta","Lepidoptera","Erebidae","Lymantria.dispar"
"Spp276",3,0,0,9.4,"Insecta","Diptera","Mycetophilidae","Mycetophila.fungorum"
"Spp283",3,8.3,0,3.1,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp298",3,0,6.5,3.1,"Insecta","Hymenoptera","Braconidae","Diolcogaster.jft30"
"Spp302",3,4.2,6.5,0,"Insecta","Lepidoptera","Gelechiidae",""
"Spp304",3,4.2,0,6.2,"Insecta","Lepidoptera","Gelechiidae","Dichomeris.punctipennella"
"Spp339",3,12.5,0,0,"Insecta","Lepidoptera","Geometridae","Operophtera.bruceata"
"Spp350",3,8.3,0,3.1,"Insecta","Hemiptera","Reduviidae","Zelus.luridus"
"Spp9",2,8.3,0,0,"Insecta","Lepidoptera","Geometridae",""
"Spp18",2,8.3,0,0,"Arachnida","Araneae","Linyphiidae","Neriene.radiata"
"Spp28",2,8.3,0,0,"Insecta","Lepidoptera","Gelechiidae",""
"Spp32",2,8.3,0,0,"Insecta","Lepidoptera","Gelechiidae","Coleotechnites.apicitripunctella"
"Spp33",2,8.3,0,0,"Insecta","Diptera","Iteaphila.group","Iteaphila.nitidula"
"Spp36",2,4.2,0,3.1,"Insecta","Lepidoptera","Geometridae","Melanolophia.canadaria"
"Spp44",2,4.2,0,3.1,"Insecta","Diptera","Tachinidae",""
"Spp61",2,4.2,0,3.1,"Insecta","Coleoptera","Coccinellidae","Chilocorus.stigma"
"Spp68",2,0,0,6.2,"Arachnida","Opiliones","Caddidae","Caddo.agilis"
"Spp72",2,4.2,3.2,0,"Insecta","Diptera","Empididae",""
"Spp74",2,0,6.5,0,"Insecta","Diptera","Dolichopodidae",""
"Spp78",2,8.3,0,0,"Insecta","Lepidoptera","Gelechiidae","Chionodes.obscurusella"
"Spp83",2,8.3,0,0,"Insecta","Diptera","Bibionidae","Dilophus.femoratus"
"Spp84",2,0,0,6.2,"Arachnida","Araneae","Cybaeidae","Cryphoeca.montana"
"Spp99",2,4.2,3.2,0,"Insecta","Plecoptera","Nemouridae","Ostrocerca.complexa"
"Spp100",2,0,3.2,3.1,"Insecta","Hymenoptera","Ichneumonidae",".1"
"Spp104",2,0,3.2,3.1,"Arachnida","Araneae","Araneidae","Araneus.nordmanni"
"Spp107",2,0,3.2,3.1,"Insecta","Diptera","Sciaridae",""
"Spp113",2,8.3,0,0,"Arachnida","Araneae","Theridiidae","Theridion.glaucescens"
"Spp117",2,4.2,3.2,0,"Insecta","Diptera","Simuliidae","Simulium.venustum"
"Spp120",2,8.3,0,0,"Arachnida","Araneae","Theridiidae","Platnickina.alabamensis"
"Spp122",2,8.3,0,0,"Insecta","Coleoptera","Tenebrionidae","Isomira.quadristriata"
"Spp128",2,4.2,3.2,0,"Insecta","Hymenoptera","Braconidae",""
"Spp130",2,8.3,0,0,"Insecta","Coleoptera","Elateridae",""
"Spp131",2,0,0,6.2,"Collembola","Entomobryomorpha","",""
"Spp132",2,4.2,0,3.1,"Insecta","Lepidoptera","Geometridae",""
"Spp133",2,0,0,6.2,"Insecta","Hemiptera","Cicadellidae","Scaphoideus.cylindratus"
"Spp136",2,0,3.2,3.1,"Insecta","Diptera","Limoniidae",""
"Spp141",2,8.3,0,0,"Insecta","Plecoptera","Leuctridae","Leuctra.grandis"
"Spp144",2,0,3.2,3.1,"Insecta","Diptera","Rhagionidae","Rhagio.vertebratus"
"Spp149",2,8.3,0,0,"Insecta","Lepidoptera","Tortricidae",""
"Spp161",2,0,3.2,3.1,"Insecta","Lepidoptera","Geometridae","Plagodis.phlogosaria"
"Spp164",2,0,3.2,3.1,"Insecta","Lepidoptera","Argyresthiidae","Argyresthia.goedartella"
"Spp170",2,0,0,6.2,"Arachnida","Sarcoptiformes","Peloppiidae",""
"Spp184",2,0,0,6.2,"Insecta","Diptera","Rhagionidae",""
"Spp191",2,0,3.2,3.1,"Insecta","Diptera","Limoniidae","Limonia.immatura"
"Spp192",2,8.3,0,0,"Insecta","Lepidoptera","Gelechiidae",""
"Spp199",2,0,3.2,3.1,"Insecta","Hymenoptera","Ichneumonidae","Euceros.canadensis"
"Spp202",2,4.2,0,3.1,"Insecta","Hymenoptera","Pergidae",""
"Spp204",2,4.2,3.2,0,"Insecta","Lepidoptera","Geometridae","Cladara.atroliturata"
"Spp210",2,0,6.5,0,"Insecta","Lepidoptera","Lasiocampidae",""
"Spp221",2,0,0,6.2,"Insecta","Psocodea","Myopsocidae",""
"Spp224",2,8.3,0,0,"Insecta","Diptera","Chironomidae","Chironomus.nr..atroviridis.2i.IP2013"
"Spp227",2,0,3.2,3.1,"Arachnida","Araneae","Philodromidae",""
"Spp229",2,4.2,3.2,0,"Insecta","Diptera","Muscidae","Coenosia.nigritarsis"
"Spp230",2,0,6.5,0,"Insecta","Hemiptera","Miridae",""
"Spp236",2,4.2,0,3.1,"Arachnida","Araneae","Amaurobiidae","Callobius.bennetti"
"Spp240",2,4.2,0,3.1,"Arachnida","Araneae","Theridiidae","Wamba.crispulus"
"Spp241",2,0,0,6.2,"Insecta","Lepidoptera","Sphingidae","Ceratomia.undulosa"
"Spp243",2,0,0,6.2,"Insecta","Diptera","Xylophagidae",""
"Spp246",2,0,6.5,0,"Insecta","Neuroptera","Hemerobiidae",""
"Spp249",2,0,0,6.2,"Insecta","Diptera","Sciaridae","Bradysia.placida"
"Spp251",2,8.3,0,0,"Insecta","Diptera","Sciaridae",""
"Spp253",2,8.3,0,0,"Insecta","Lepidoptera","Erebidae","Xenogenes.chrysoplaca"
