"index","Plate","Sample","Species","Elevation","Period","Sex","Age","Nest_Stage","BandCC","Agelenidae","Agromyzidae","Amaurobiidae","Ameroseiidae","Amphipsocidae","Anthomyiidae","Aphididae","Aphrophoridae","Araneidae","Argidae","Argyresthiidae","Asilidae","Autostichidae","Axymyiidae","Bdellidae","Bibionidae","Blastobasidae","Braconidae","Buprestidae","Caddidae","Caeciliusidae","Calliphoridae","Cantharidae","Carabidae","Cecidomyiidae","Cerambycidae","Ceratopogonidae","Chironomidae","Chloroperlidae","Cicadellidae","Clubionidae","Clusiidae","Coccinellidae","Coleophoridae","Coniopterygidae","Crambidae","Culicidae","Curculionidae","Cybaeidae","Cymbaeremaeidae","Depressariidae","Dictynidae","Dolichopodidae","Drepanidae","Drosophilidae","Dryinidae","Ectobiidae","Elateridae","Empididae","Erebidae","Eupodidae","Formicidae","Gelechiidae","Geometridae","Gracillariidae","Hemerobiidae","Hybotidae","Hypogastruridae","Ichneumonidae","Incurvariidae","Iteaphila.group","Keroplatidae","Lasiocampidae","Lauxaniidae","Lepidopsocidae","Leuctridae","Limoniidae","Linyphiidae","Melandryidae","Mesopsocidae","Miridae","Mordellidae","Muscidae","Mycetophilidae","Myopsocidae","Nemouridae","Nepticulidae","Noctuidae","Nolidae","Notodontidae","Parajulidae","Parakalummidae","Pediciidae","Peloppiidae","Pentatomidae","Pergidae","Peripsocidae","Philodromidae","Phoridae","Phthiracaridae","Pipunculidae","Platygastridae","Psocidae","Psychidae","Ptinidae","Pyrochroidae","Reduviidae","Rhagionidae","Rhyparochromidae","Salticidae","Scarabaeidae","Scathophagidae","Sciaridae","Simuliidae","Sphingidae","Staphylinidae","Syrphidae","Tabanidae","Tachinidae","Tarsonemidae","Tenebrionidae","Tetragnathidae","Therevidae","Theridiidae","Theridiosomatidae","Thomisidae","Tineidae","Tipulidae","Tomoceridae","Tortricidae","Xylophagidae"
"BTBW_HIGH_1_17IX21_10",1,"SAMPLE","BTBW","High","Early","F","SY","incubation","1950-22478_BOGA","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0"
"BTBW_HIGH_2_15X21A_10",1,"SAMPLE","BTBW","High","Early","M","ASY","incubation","1950-22611_YAWW","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0"
"BTBW_HIGH_2_15X21B_9",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"2870-35703_RKKA","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"BTBW_HIGH_2_17IX21_7",1,"SAMPLE","BTBW","High","Early","M","SY","incubation","1950-22603_RGWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"BTBW_HIGH_2_8X21_10",1,"SAMPLE","BTBW","High","Early","F","SY","incubation","1950-22481_BKGA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"BTBW_HIGH_2_8X21_23",1,"SAMPLE","BTBW","High","Early","M","ASY",NA,"1950-22612_OGRA","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"BTBW_HIGH_3_15X21A_13",1,"SAMPLE","BTBW","High","Mid","F","SY","incubation","2870-35709_WAKG","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"BTBW_HIGH_3_15X21A_15",1,"SAMPLE","BTBW","High","Mid","F","SY","incubation","2870-35710_OKKA","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0"
"BTBW_HIGH_3_15X21A_19",1,"SAMPLE","BTBW","High","Mid","M","SY","fertile","1950-22628_KKBA","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"BTBW_HIGH_3_15X21A_7",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"1950-22537_BGKA","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"BTBW_HIGH_3_1X21_16",2,"SAMPLE","BTBW","High","Mid","M","ASY",NA,"1950-22633_GBYA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"BTBW_HIGH_3_24IX21_7",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"1950-22621_KBKA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0"
"BTBW_HIGH_3_24IX21_8",2,"SAMPLE","BTBW","High","Mid","M","SY",NA,"2870-35711_YGWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0"
"BTBW_HIGH_3_8X21_15",1,"SAMPLE","BTBW","High","Mid","M","ASY","parental","1950-22869_KGWA","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
