"index","Plate","Sample","Species","Elevation","Period","Sex","Age","Nest_Stage","BandCC","Araneae","Blattodea","Coleoptera","Diptera","Entomobryomorpha","Hemiptera","Hymenoptera","Julida","Lepidoptera","Mesostigmata","Neuroptera","Opiliones","Plecoptera","Poduromorpha","Psocodea","Sarcoptiformes","Trombidiformes"
"BTBW_HIGH_1_17IX21_10",1,"SAMPLE","BTBW","High","Early","F","SY","incubation","1950-22478_BOGA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_2_15X21A_10",1,"SAMPLE","BTBW","High","Early","M","ASY","incubation","1950-22611_YAWW",1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"BTBW_HIGH_2_15X21B_9",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"2870-35703_RKKA",1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"BTBW_HIGH_2_17IX21_7",1,"SAMPLE","BTBW","High","Early","M","SY","incubation","1950-22603_RGWA",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_2_8X21_10",1,"SAMPLE","BTBW","High","Early","F","SY","incubation","1950-22481_BKGA",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_2_8X21_23",1,"SAMPLE","BTBW","High","Early","M","ASY",NA,"1950-22612_OGRA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_3_15X21A_13",1,"SAMPLE","BTBW","High","Mid","F","SY","incubation","2870-35709_WAKG",1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
"BTBW_HIGH_3_15X21A_15",1,"SAMPLE","BTBW","High","Mid","F","SY","incubation","2870-35710_OKKA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_3_15X21A_19",1,"SAMPLE","BTBW","High","Mid","M","SY","fertile","1950-22628_KKBA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_3_15X21A_7",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"1950-22537_BGKA",1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
"BTBW_HIGH_3_1X21_16",2,"SAMPLE","BTBW","High","Mid","M","ASY",NA,"1950-22633_GBYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_3_24IX21_7",1,"SAMPLE","BTBW","High","Mid","M","SY",NA,"1950-22621_KBKA",1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
"BTBW_HIGH_3_24IX21_8",2,"SAMPLE","BTBW","High","Mid","M","SY",NA,"2870-35711_YGWA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_3_8X21_15",1,"SAMPLE","BTBW","High","Mid","M","ASY","parental","1950-22869_KGWA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_3_8X21_16",1,"SAMPLE","BTBW","High","Mid","M","ASY","parental","1950-22626_WWOA",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"BTBW_HIGH_4_15X21A_11",1,"SAMPLE","BTBW","High","Late","F","SY","parental","1950-22477_PBKA",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_4_15X21A_22",1,"SAMPLE","BTBW","High","Late","F","SY","parental","1950-22481_BKGA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_4_15X21B_10",1,"SAMPLE","BTBW","High","Late","M","ASY",NA,"1950-22543_BAPW",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"BTBW_HIGH_4_1X21_17",2,"SAMPLE","BTBW","High","Late","M","HY",NA,"2870-35719_KB-A",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_19",2,"SAMPLE","BTBW","High","Late","F","ASY","incubation","1950-22541_BBBA",1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_20",2,"SAMPLE","BTBW","High","Late","F","ASY","parental","1950-22479_GAGG",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_21",2,"SAMPLE","BTBW","High","Late","M","HY",NA,"1950-22558_WKYA",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_1X21_23",2,"SAMPLE","BTBW","High","Late","F","HY",NA,"2870-35722_-_A",1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
"BTBW_HIGH_4_22X21_11",1,"SAMPLE","BTBW","High","Late","M","ASY",NA,"1950-22494_PAYK",1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"BTBW_HIGH_4_22X21_3",1,"SAMPLE","BTBW","High","Late","M","HY",NA,"2870-35723_-_A",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
"BTBW_HIGH_4_8X21_11",1,"SAMPLE","BTBW","High","Late","M","HY",NA,"2870-35720_-A",1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"BTBW_HIGH_4_8X21_13",1,"SAMPLE","BTBW","High","Late","M","SY","parental","1950-22531_WGWA",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BTBW_HIGH_4_8X21_9",1,"SAMPLE","BTBW","High","Late","M","ASY","parental","1950-22542_BWYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"BTBW_LOW_1_15X21A_12",1,"SAMPLE","BTBW","Low","Early","M","ASY","fertile","1950-22462_BKYA",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"BTBW_LOW_1_17IX21_12",1,"SAMPLE","BTBW","Low","Late","M","SY","incubation","2870-35707_KARW",1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0
"BTBW_LOW_1_24IX21_4",1,"SAMPLE","BTBW","Low","Early","M","ASY","incubation","1950-22505_GGGA",1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1
"BTBW_LOW_1_8X21_7",1,"SAMPLE","BTBW","Low","Early","F","ASY","fertile","1950-22461_BKRA",1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
